Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","257","0.7","Q3","0.15","100"%,
"Libres-Library and Information Science Research Electronic Journal","LIBRES","NANYANG TECHNOLOGICAL UNIV LIBRARY","1058-6768","1058-6768","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","58","0.7","Q3","0.09","100"%,
"Collnet Journal of Scientometrics and Information Management","COLLNET J SCIENTOMET","TARU PUBLICATIONS","0973-7766","2168-930X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","239","0.6","Q3","0.22","0"%,
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","959","0.6","Q3","0.1","18.81"%,
"Encontros Bibli-Revista Eletronica de Biblioteconomia e Ciencia da Informacao","ENCONTROS BIBLI","UNIV FEDERAL SANTA CATARINA","N/A","1518-2924","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","193","0.6","Q3","0.06","90.38"%,
"Information Resources Management Journal","INF RESOUR MANAG J","IGI GLOBAL","1040-1628","1533-7979","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","355","0.5","Q3","0.22","100"%,
"Electronic Government- an International Journal","ELECTRON GOV-INT J","INDERSCIENCE ENTERPRISES LTD","1740-7494","1740-7508","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","118","0.5","Q3","0.21","1.92"%,
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","IMR PRESS","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","580","0.5","Q3","0.16","53.85"%,
"International Journal of Public Administration in the Digital Age","INT J PUBLIC ADM DIG","IGI GLOBAL","2334-4520","2334-4539","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","92","0.5","Q3","0.14","92.86"%,
"Scientific and Technical Information Processing","SCI TECH INF PROCESS","PLEIADES PUBLISHING LTD","0147-6882","1934-8118","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","229","0.5","Q3","0.13","0"%,
"RDBCI-Revista Digital de Biblioteconomia e Ciencia da Informacao","RDBCI-REV DIG BIB CI","UNIV ESTADUAL CAMPINAS - SISTEMA BIBLIOTECAS","N/A","1678-765X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","111","0.5","Q3","0.09","60.5"%,
"Turkish Librarianship","TURK LIBRARIANSH","TURKISH LIBRARIANS ASSOC","1300-0039","2147-9682","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","99","0.5","Q3","0.08","89.58"%,
"Revista Interamericana de Bibliotecologia","REV INTERAM BIBLIOTE","UNIV ANTIOQUIA","0120-0976","2538-9866","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","100","0.5","Q3","0.04","100"%,
"Informacios Tarsadalom","INF TARSAD","INFONIA","1587-8694","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","116","0.4","Q4","0.21","97.18"%,
"Collection Management","COLLECT MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0146-2679","1545-2549","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","154","0.4","Q4","0.19","3.13"%,
"JLIS.it","JLIS.IT","FIRENZE UNIV PRESS","2038-5366","2038-1026","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","107","0.4","Q4","0.19","100"%,
"JOURNAL OF INFORMATION & OPTIMIZATION SCIENCES","J INFORM OPTIM SCI","TARU PUBLICATIONS","0252-2667","2169-0103","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","824","0.4","Q4","0.18","0"%,
"SERIALS REVIEW","SERIALS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","237","0.4","Q4","0.16","4.26"%,
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSOC LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","190","0.4","Q4","0.12","0"%,
"Annals of Library and Information Studies","ANN LIBR INF STUD","NATL INST SCIENCE COMMUNICATION-NISCAIR","0972-5423","0975-2404","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","184","0.4","Q4","0.11","99.1"%,
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","237","0.4","Q4","0.1","90.24"%,
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","214","0.4","Q4","0.08","96.97"%,
"Perspectivas em Ciencia da Informacao","PERSPECT CIENC INF","UNIV FEDERAL MINAS GERAIS, ESCOLA BIBLIOTECONOMIA","1413-9936","1981-5344","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","236","0.4","Q4","0.06","81.82"%,
"SCIENTIST","SCIENTIST","LABX MEDIA GROUP","0890-3670","1547-0806","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","436","0.4","Q4","0.01","0"%,
"Em Questao","EM QUESTAO","UNIV FEDERAL RIO GRANDE SUL, FAC BIBLIOTECONOMIA & COMUNICACAO","1807-8893","1808-5245","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","187","0.3","Q4","0.13","90.16"%,
"Journal of Library and Information Studies","J LIBR INFORM STUD","NATL TAIWAN UNIV, DEPT LIBRARY & INFORMATION SCIENCE","1606-7509","2309-9119","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","37","0.3","Q4","0.09","0"%,
"Ibersid-Revista de Sistemas de Informacion y Documentacion","IBERSID","IBERSID NETWORK","1888-0967","2174-081X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","48","0.3","Q4","0.05","42.86"%,
"Revista General de Informacion y Documentacion","REV GEN INF DOC","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1132-1873","1988-2858","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","124","0.3","Q4","0.05","96.05"%,
"Metodos de informacion","METODOS INF","COLLEGI OFICIAL BIBLIOTECARIS & DOCUMENTALISTES COMUNITAT VALENCI","1134-2838","2173-1241","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","25","0.3","Q4","0.04","80.77"%,
"Scire-Representacion y Organizacion del Conocimiento","SCIRE","UNIV ZARAGOZA","1135-3716","2340-7042","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","41","0.3","Q4","0.04","38.46"%,
"Anales de Documentacion","AN DOC","UNIV MURCIA","1575-2437","1697-7904","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","58","0.3","Q4","0.03","88.89"%,
"Nauchnye i Tekhnicheskie Biblioteki-Scientific and Technical Libraries","NAUCHNYE TEK BIBL","RUSSIAN NATL PUBLIC LIBRARY SCIENCE & TECHNOLOGY","0130-9765","0130-9765","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","114","0.2","Q4","0.08","98.45"%,
"AIB Studi","AIB STUD","ASSOC ITALIANA BIBLIOTECHE-AIB","2280-9112","2239-6144","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","49","0.2","Q4","0.06","0"%,
"Qualitative & Quantitative Methods in Libraries","QUAL QUANT METHODS L","INT SOC ART SCIENCE & TECHNOLOGY-ISAST","2241-1925","2241-1925","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","165","0.2","Q4","0.05","0"%,
"Biblios-Revista de Bibliotecologia y Ciencias de la Informacion","BIBLIOS","UNIV PITTSBURGH, UNIV LIBRARY SYSTEM","1562-4730","1562-4730","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","64","0.2","Q4","0.04","100"%,
"Library & Information History","LIBR INF HIST","EDINBURGH UNIV PRESS","1758-3489","1758-3497","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","38","0.2","Q4","0.04","6.9"%,
"Documentation et Bibliotheques","DOC BIBL","ASSOC AVANCEMENT SCIENCES TECHNIQUES DOCUMENTATION","0315-2340","0315-2340","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","25","0.2","Q4","0.03","4.26"%,
"Bibliotecas-Anales de Investigacion","BIBL-AN INVESTIG","BIBLIOTECA NACL CUBA JOSE MARTI","0006-176X","1683-8947","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","56","0.2","Q4","0.01","0"%,
"Cuadernos de Documentacion Multimedia","CUAD DOC MULTIMED","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1575-9733","1575-9733","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","22","0.2","Q4","0.01","100"%,
"Knygotyra","KNYGOTYRA","VILNIUS UNIV PRESS","0204-2061","2345-0053","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","38","0.1","Q4","0.16","100"%,
"Archives and Manuscripts","ARCH MANUSCR","Australian Society Archivists Inc","0157-6895","2164-6058","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","149","0.1","Q4","0.13","75"%,
"E-Ciencias de la Informacion","E-CIENC INF","UNIV COSTA RICA, CENTRO INVESTIGACIONES & MATEMATICA PURA & APLICADA","1659-4142","1659-4142","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","23","0.1","Q4","0.05","97.73"%,
"Bibliothek Forschung und Praxis","BIBL FORSCH PRAX","WALTER DE GRUYTER GMBH","0341-4183","1865-7648","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","75","0.1","Q4","0.03","98.34"%,
"Revista Ibero-Americana de Ciencia da Informacao","REV IBERI-AM CIENC I","UNIV BRASILIA, DEPT CIENCIA INFORMACAO","1983-5213","1983-5213","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","46","0.1","Q4","0.03","70"%,
"AtoZ-Novas Praticas em Informacao e Conhecimento","ATOZ","UNIV FEDERAL PARANA, DEPT CIENCIA & GESTAO INFORMACAO","2237-826X","2237-826X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","48","0.1","Q4","0.02","17.39"%,
"Bibliotecas-Revista de la Escuela de Bibliotecologia Documentacion e Informacion","BIBLIOTECAS","UNIV NACL, ESCUELA BIBLIOTECOLOGIA DOCUMENTACION & INFORMACION","1409-3049","1659-3286","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","9","0.1","Q4","0.02","88"%,
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","21","0.1","Q4","0.02","3.77"%,
"ACERVO","ACERVO-BRAZIL","Arquivo Nacional","0102-700X","2237-8723","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","99","0.1","Q4","0.01","9.86"%,
"Bosniaca-Journal of the National and University Library of Bosnia and Herzegovina","BOSNIACA","NATL & UNIV LIBRARY BOSNIA & HERZEGOVINA","1512-5033","2303-8888","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","13","0.1","Q4","0.01","93.02"%,
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FEDERAL PARAIBA","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","139","0.1","Q4","0","0"%,
