Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of Citable OA
"Bibliotecas-Revista de la Escuela de Bibliotecologia Documentacion e Informacion","BIBLIOTECAS","UNIV NACL, ESCUELA BIBLIOTECOLOGIA DOCUMENTACION & INFORMACION","1409-3049","1659-3286","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","12","0.5","N/A","0.07","90.48"%,
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","20","0.5","Q4","0.06","0"%,
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","176","0.4","Q4","0.15","88.99"%,
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","WALTER DE GRUYTER GMBH","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","336","0.4","Q4","0.15","10.53"%,
"Metodos de informacion","METODOS INF","COLLEGI OFICIAL BIBLIOTECARIS & DOCUMENTALISTES COMUNITAT VALENCI","1134-2838","2173-1241","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","18","0.4","N/A","0.12","66.67"%,
"Journal of the Canadian Health Libraries Association","J CAN HEALTH LIBRARI","CANADIAN HEALTH LIBRARIES ASSOC","1708-6892","1708-6892","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","143","0.4","N/A","0.11","100"%,
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","94","0.4","Q4","0.09","0"%,
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","WESTERN LIBRARIES","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","115","0.4","Q4","0.09","50"%,
"Ibersid-Revista de Sistemas de Informacion y Documentacion","IBERSID","IBERSID NETWORK","1888-0967","2174-081X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","44","0.4","N/A","0.08","0"%,
"Library & Information History","LIBR INF HIST","EDINBURGH UNIV PRESS","1758-3489","1758-3497","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","45","0.4","N/A","0.08","0"%,
"Cuadernos de Documentacion Multimedia","CUAD DOC MULTIMED","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1575-9733","1575-9733","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","28","0.4","N/A","0.05","83.33"%,
"BiD-Textos Universitaris de Biblioteconomia i Documentacio","BID-TEXTOS UNIV BIBL","UNIV BARCELONA, SERVEI PUBLICACIONS","1575-5886","1575-5886","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","62","0.4","N/A","0.01","82.61"%,
"Archives and Manuscripts","ARCH MANUSCR","Australian Society Archivists Inc","0157-6895","2164-6058","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","164","0.3","N/A","0.2","50"%,
"Nauchnye i Tekhnicheskie Biblioteki-Scientific and Technical Libraries","NAUCHNYE TEK BIBL","RUSSIAN NATL PUBLIC LIBRARY SCIENCE & TECHNOLOGY","0130-9765","0130-9765","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","120","0.3","N/A","0.09","95.13"%,
"AIB Studi","AIB STUD","ASSOC ITALIANA BIBLIOTECHE-AIB","2280-9112","2239-6144","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","47","0.3","N/A","0.08","0"%,
"Revista General de Informacion y Documentacion","REV GEN INF DOC","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1132-1873","1988-2858","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","124","0.3","N/A","0.08","74.07"%,
"South African Journal of Libraries and Information Science","S AFR J LIBR INF","FORUM PRESS","0256-8861","2304-8263","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","127","0.3","N/A","0.08","76.92"%,
"Informacios Tarsadalom","INF TARSAD","INFONIA","1587-8694","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","29","0.3","Q4","0.07","98.51"%,
"Qualitative & Quantitative Methods in Libraries","QUAL QUANT METHODS L","INT SOC ART SCIENCE & TECHNOLOGY-ISAST","2241-1925","2241-1925","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","143","0.3","N/A","0.07","0"%,
"AtoZ-Novas Praticas em Informacao e Conhecimento","ATOZ","UNIV FEDERAL PARANA, DEPT CIENCIA & GESTAO INFORMACAO","2237-826X","2237-826X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","42","0.3","N/A","0.04","62.77"%,
"Encontros Bibli-Revista Eletronica de Biblioteconomia e Ciencia da Informacao","ENCONTROS BIBLI","UNIV FEDERAL SANTA CATARINA","N/A","1518-2924","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","120","0.3","N/A","0.04","94.53"%,
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FEDERAL CAMPINA GRANDE","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","128","0.3","Q4","0.03","0"%,
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSOC LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","152","0.2","Q4","0.19","0"%,
"JLIS.it","JLIS.IT","UNIV STUDI FIRENZE, DIPT STUDI MEDIOEVO & RINASCIMENTO","2038-5366","2038-1026","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","92","0.2","N/A","0.09","13.1"%,
"Journal of Library and Information Studies","J LIBR INFORM STUD","NATL TAIWAN UNIV, DEPT LIBRARY & INFORMATION SCIENCE","1606-7509","2309-9119","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","32","0.2","N/A","0.08","0"%,
"Bibliotecas-Anales de Investigacion","BIBL-AN INVESTIG","BIBLIOTECA NACL CUBA JOSE MARTI","0006-176X","1683-8947","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","45","0.2","N/A","0.07","0"%,
"Perspectivas em Ciencia da Informacao","PERSPECT CIENC INF","UNIV FEDERAL MINAS GERAIS, ESCOLA BIBLIOTECONOMIA","1413-9936","1981-5344","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","222","0.2","N/A","0.06","86.51"%,
"Libres-Library and Information Science Research Electronic Journal","LIBRES","NANYANG TECHNOLOGICAL UNIV LIBRARY","1058-6768","1058-6768","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","48","0.2","N/A","0.05","81.82"%,
"Documentation et Bibliotheques","DOC BIBL","ASSOC AVANCEMENT SCIENCES TECHNIQUES DOCUMENTATION","0315-2340","0315-2340","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","21","0.2","N/A","0.04","0"%,
"Turkish Librarianship","TURK LIBRARIANSH","TURKISH LIBRARIANS ASSOC","1300-0039","2147-9682","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","76","0.2","N/A","0.03","73.27"%,
"Bosniaca-Journal of the National and University Library of Bosnia and Herzegovina","BOSNIACA","NATL & UNIV LIBRARY BOSNIA & HERZEGOVINA","1512-5033","2303-8888","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","4","0.2","N/A","0.02","97.3"%,
"REFERENCE & USER SERVICES QUARTERLY","REF USER SERV Q","AMER LIBRARY ASSOC","1094-9054","2163-5242","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","270","0.1","Q4","0.12","0"%,
"RDBCI-Revista Digital de Biblioteconomia e Ciencia da Informacao","RDBCI-REV DIG BIB CI","UNIV ESTADUAL CAMPINAS - SISTEMA BIBLIOTECAS","N/A","1678-765X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","51","0.1","N/A","0.06","78.43"%,
"Scire-Representacion y Organizacion del Conocimiento","SCIRE","UNIV ZARAGOZA","1135-3716","2340-7042","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","29","0.1","N/A","0.06","0"%,
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","20","0.1","Q4","0.05","0"%,
"Bibliothek Forschung und Praxis","BIBL FORSCH PRAX","WALTER DE GRUYTER GMBH","0341-4183","1865-7648","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","58","0.1","N/A","0.04","72.73"%,
"Em Questao","EM QUESTAO","UNIV FEDERAL RIO GRANDE SUL, FAC BIBLIOTECONOMIA & COMUNICACAO","1807-8893","1808-5245","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","104","0.1","N/A","0.04","94.24"%,
"E-Ciencias de la Informacion","E-CIENC INF","UNIV COSTA RICA","1659-4142","1659-4142","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","17","0.1","N/A","0.03","96.72"%,
"Revista Ibero-Americana de Ciencia da Informacao","REV IBERI-AM CIENC I","UNIV BRASILIA, DEPT CIENCIA INFORMACAO","1983-5213","1983-5213","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","33","0.1","N/A","0.03","24.07"%,
"Biblios-Revista de Bibliotecologia y Ciencias de la Informacion","BIBLIOS","UNIV PITTSBURGH, UNIV LIBRARY SYSTEM","1562-4730","1562-4730","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","46","<0.1","N/A","0.03","94.44"%,
